name,age,salary,gender,department,position,joining_date,performance_score,email,phone_number
 charlie ,50,SIXTY THOUSAND,Female,HR,Manager,2020-01-15,A,email@example.com,(555) 555-5555
 ivy ,thirty,SIXTY THOUSAND,Male,Finance,Director,2020-01-15,F,name@company.org,(123) 456-7890
 alice ,50,70000,Male,Sales,Analyst,2020-01-15,F,email@example.com,Invalid
 frank ,40,SIXTY THOUSAND,Male,HR,Manager,2020-01-15,C,name@company.org,(123) 456-7890
 charlie ,25, NAN ,Male,Finance,Assistant,2020-01-15,B,user@domain.com,(098) 765-4321
 eve ,40, NAN ,Other,Finance,Manager,2020-01-15,A,email@example.com,(555) 555-5555
 frank ,thirty, NAN ,Female,Sales,Manager,2020-01-15,D,user@domain.com,(098) 765-4321
 charlie ,35,50000,Male,Finance,Assistant,2020-01-15,F,user@domain.com,(555) 555-5555
 alice ,25, NAN ,Female,Finance,Clerk,2020-01-15,B,user@domain.com,(123) 456-7890
 bob ,35,50000,Other,Marketing,Director,2020-01-15,B,user@domain.com,(098) 765-4321
 bob ,35,SIXTY THOUSAND,Other,Sales,Manager,2020-01-15,A,name@company.org,Invalid
 david ,50,SIXTY THOUSAND,Male,HR,Assistant,2020-01-15,F,name@company.org,Invalid
 eve ,50,SIXTY THOUSAND,Other,Sales,Analyst,2020-01-15,F,name@company.org,(123) 456-7890
 frank ,40,55000,Other,Finance,Assistant,2020-01-15,C,name@company.org,Invalid
 grace ,25,70000,Male,Marketing,Director,2020-01-15,D,email@example.com,(123) 456-7890
 alice ,35,55000,Male,Marketing,Assistant,2020-01-15,B,email@example.com,(098) 765-4321
 david ,35,55000,Other,Finance,Analyst,2020-01-15,F,email@example.com,(555) 555-5555
 charlie ,thirty,70000,Other,Marketing,Analyst,2020-01-15,A,user@domain.com,Invalid
 charlie ,35,70000,Other,HR,Director,2020-01-15,C,name@company.org,(555) 555-5555
 charlie ,thirty,55000,Male,Finance,Assistant,2020-01-15,B,name@company.org,(123) 456-7890
 alice ,25,SIXTY THOUSAND,Other,Finance,Analyst,2020-01-15,A,user@domain.com,Invalid
 eve ,35,50000,Male,Sales,Manager,2020-01-15,B,name@company.org,(098) 765-4321
 frank ,thirty,55000,Male,HR,Analyst,2020-01-15,D,name@company.org,Invalid
 hannah ,35,70000,Male,Marketing,Clerk,2020-01-15,A,user@domain.com,(123) 456-7890
 ivy ,40,70000,Other,Finance,Assistant,2020-01-15,A,user@domain.com,Invalid
 alice ,40,50000,Male,Marketing,Analyst,2020-01-15,C,user@domain.com,(098) 765-4321
 grace ,35,55000,Female,Marketing,Analyst,2020-01-15,B,email@example.com,Invalid
 bob ,thirty,65000,Female,Finance,Analyst,2020-01-15,D,email@example.com,(098) 765-4321
 eve ,25,70000,Female,Finance,Director,2020-01-15,B,name@company.org,(555) 555-5555
 eve ,35,65000,Other,Sales,Director,2020-01-15,F,name@company.org,(123) 456-7890
 jack ,40,65000,Other,Sales,Assistant,2020-01-15,A,name@company.org,(123) 456-7890
 charlie ,40,70000,Male,IT,Director,2020-01-15,D,email@example.com,(123) 456-7890
 grace ,35, NAN ,Other,IT,Analyst,2020-01-15,F,email@example.com,(555) 555-5555
 eve ,35, NAN ,Female,Sales,Director,2020-01-15,A,email@example.com,(123) 456-7890
 alice ,thirty,70000,Male,Sales,Clerk,2020-01-15,B,email@example.com,(123) 456-7890
 frank ,40,70000,Other,Marketing,Director,2020-01-15,B,email@example.com,(555) 555-5555
 eve ,35,50000,Female,IT,Clerk,2020-01-15,D,email@example.com,(098) 765-4321
 hannah ,40,SIXTY THOUSAND,Female,Marketing,Manager,2020-01-15,C,user@domain.com,(123) 456-7890
 jack ,thirty,SIXTY THOUSAND,Female,Finance,Clerk,2020-01-15,A,name@company.org,(123) 456-7890
 charlie ,25,65000,Female,Sales,Analyst,2020-01-15,F,email@example.com,(123) 456-7890
 charlie ,40,SIXTY THOUSAND,Female,IT,Analyst,2020-01-15,A,name@company.org,(098) 765-4321
 ivy ,50,65000,Male,Finance,Manager,2020-01-15,D,user@domain.com,(555) 555-5555
 bob ,25,55000,Female,Finance,Assistant,2020-01-15,C,email@example.com,(123) 456-7890
 eve ,40,55000,Other,IT,Analyst,2020-01-15,D,user@domain.com,(555) 555-5555
 bob ,25,SIXTY THOUSAND,Male,Sales,Analyst,2020-01-15,B,name@company.org,Invalid
 david ,40,70000,Female,Finance,Clerk,2020-01-15,F,email@example.com,(098) 765-4321
 jack ,25,65000,Other,Sales,Manager,2020-01-15,F,name@company.org,(098) 765-4321
 alice ,40,SIXTY THOUSAND,Other,Sales,Analyst,2020-01-15,B,user@domain.com,(098) 765-4321
 frank ,25,55000,Male,HR,Manager,2020-01-15,D,email@example.com,(555) 555-5555
 jack ,thirty,65000,Female,HR,Assistant,2020-01-15,B,email@example.com,(098) 765-4321
 hannah ,thirty,65000,Male,IT,Clerk,2020-01-15,F,email@example.com,(123) 456-7890
 hannah ,40,50000,Male,HR,Analyst,2020-01-15,B,email@example.com,(555) 555-5555
 charlie ,thirty,50000,Male,IT,Director,2020-01-15,C,name@company.org,(555) 555-5555
 jack ,thirty, NAN ,Male,Finance,Director,2020-01-15,F,email@example.com,Invalid
 charlie ,thirty,55000,Female,Finance,Assistant,2020-01-15,C,name@company.org,(098) 765-4321
 bob ,50,SIXTY THOUSAND,Male,IT,Manager,2020-01-15,B,name@company.org,Invalid
 grace ,40,SIXTY THOUSAND,Other,Finance,Clerk,2020-01-15,C,email@example.com,(098) 765-4321
 david ,25,65000,Male,HR,Analyst,2020-01-15,D,user@domain.com,(123) 456-7890
 jack ,25,55000,Other,HR,Manager,2020-01-15,F,email@example.com,(123) 456-7890
 jack ,40, NAN ,Other,Marketing,Assistant,2020-01-15,C,email@example.com,(555) 555-5555
 grace ,40, NAN ,Other,Finance,Clerk,2020-01-15,C,name@company.org,Invalid
 hannah ,25, NAN ,Other,Marketing,Assistant,2020-01-15,F,name@company.org,Invalid
 frank ,thirty, NAN ,Male,Marketing,Manager,2020-01-15,D,user@domain.com,(098) 765-4321
 eve ,thirty,SIXTY THOUSAND,Female,HR,Director,2020-01-15,C,email@example.com,Invalid
 eve ,50,SIXTY THOUSAND,Female,Sales,Manager,2020-01-15,F,user@domain.com,(555) 555-5555
 hannah ,50,55000,Male,HR,Director,,D,user@domain.com,Invalid
 frank ,25, NAN ,Female,IT,Clerk,,B,email@example.com,(555) 555-5555
 alice ,25,50000,Other,IT,Director,,F,user@domain.com,(555) 555-5555
 jack ,50,50000,Other,Marketing,Analyst,,B,email@example.com,Invalid
 ivy ,40,50000,Other,Finance,Manager,,A,name@company.org,(123) 456-7890
 jack ,50,70000,Male,Finance,Analyst,,A,email@example.com,(098) 765-4321
 ivy ,25,55000,Female,Finance,Manager,,B,name@company.org,(098) 765-4321
 charlie ,40, NAN ,Female,IT,Director,,D,email@example.com,(555) 555-5555
 eve ,40, NAN ,Other,Sales,Manager,,C,name@company.org,(123) 456-7890
 bob ,thirty,50000,Female,Finance,Director,,C,name@company.org,(098) 765-4321
 bob ,thirty, NAN ,Other,HR,Assistant,,A,email@example.com,(098) 765-4321
 david ,35, NAN ,Male,Sales,Assistant,,F,user@domain.com,(098) 765-4321
 charlie ,thirty,50000,Female,Sales,Assistant,,D,user@domain.com,(098) 765-4321
 david ,35,65000,Female,Sales,Analyst,,A,user@domain.com,(123) 456-7890
 bob ,35,70000,Female,IT,Analyst,,B,email@example.com,Invalid
 frank ,35,50000,Male,IT,Director,,A,email@example.com,Invalid
 jack ,35,50000,Other,Finance,Clerk,,D,user@domain.com,Invalid
 jack ,50, NAN ,Other,Sales,Director,,B,name@company.org,(098) 765-4321
 bob ,40,55000,Female,Finance,Manager,,F,user@domain.com,(555) 555-5555
 david ,25,SIXTY THOUSAND,Other,Sales,Manager,,D,email@example.com,(555) 555-5555
 bob ,thirty,50000,Other,IT,Analyst,,F,user@domain.com,(098) 765-4321
 hannah ,25,70000,Other,HR,Analyst,,F,user@domain.com,(098) 765-4321
 ivy ,25, NAN ,Male,HR,Director,,D,name@company.org,(098) 765-4321
 alice ,25,65000,Male,Finance,Director,,D,user@domain.com,(123) 456-7890
 alice ,40,65000,Other,Finance,Assistant,,A,email@example.com,Invalid
 alice ,50,65000,Other,HR,Assistant,,C,email@example.com,(555) 555-5555
 hannah ,35,65000,Other,IT,Manager,,B,name@company.org,Invalid
 charlie ,35,SIXTY THOUSAND,Other,Sales,Manager,,B,email@example.com,(555) 555-5555
 charlie ,35, NAN ,Other,Marketing,Assistant,,F,user@domain.com,(123) 456-7890
 ivy ,40,70000,Other,Marketing,Analyst,,B,user@domain.com,(123) 456-7890
 grace ,50,70000,Male,HR,Manager,,B,email@example.com,(555) 555-5555
 ivy ,35,SIXTY THOUSAND,Other,IT,Assistant,,B,user@domain.com,(098) 765-4321
 hannah ,thirty,70000,Male,HR,Manager,,C,email@example.com,(098) 765-4321
 bob ,25,65000,Male,IT,Director,,D,email@example.com,(123) 456-7890
 grace ,35,65000,Female,Sales,Manager,,F,email@example.com,Invalid
 grace ,thirty,SIXTY THOUSAND,Female,Marketing,Clerk,,A,name@company.org,(123) 456-7890
 hannah ,thirty,SIXTY THOUSAND,Male,Marketing,Assistant,,D,name@company.org,(098) 765-4321
 eve ,50,65000,Other,IT,Manager,,A,name@company.org,(098) 765-4321
 charlie ,50,SIXTY THOUSAND,Other,HR,Clerk,,A,email@example.com,(555) 555-5555
 charlie ,35, NAN ,Other,IT,Manager,,F,user@domain.com,Invalid
 alice ,40,70000,Other,IT,Director,,D,name@company.org,(555) 555-5555
 jack ,thirty, NAN ,Other,HR,Director,,C,user@domain.com,(098) 765-4321
 ivy ,50,65000,Female,Sales,Director,,B,email@example.com,Invalid
 david ,25,50000,Other,Finance,Manager,,D,user@domain.com,(098) 765-4321
 david ,40,50000,Other,IT,Clerk,,A,email@example.com,(123) 456-7890
 grace ,50, NAN ,Male,Sales,Assistant,,A,name@company.org,(555) 555-5555
 frank ,40,65000,Female,Marketing,Manager,,C,email@example.com,(555) 555-5555
 bob ,35,55000,Female,IT,Clerk,,F,user@domain.com,Invalid
 jack ,35,70000,Female,Marketing,Assistant,,D,email@example.com,(123) 456-7890
 grace ,50,65000,Other,Finance,Analyst,,F,email@example.com,(123) 456-7890
 ivy ,35,65000,Other,Marketing,Manager,,B,email@example.com,(098) 765-4321
 david ,50,55000,Female,Sales,Analyst,,F,email@example.com,(555) 555-5555
 charlie ,thirty,70000,Male,Finance,Manager,,B,user@domain.com,(555) 555-5555
 grace ,25, NAN ,Other,Finance,Assistant,,F,name@company.org,(555) 555-5555
 alice ,thirty,55000,Female,Sales,Assistant,,F,user@domain.com,(555) 555-5555
 alice ,40,65000,Female,Marketing,Manager,,B,name@company.org,(555) 555-5555
 bob ,50,55000,Female,HR,Clerk,,F,user@domain.com,(098) 765-4321
 jack ,50,70000,Female,Sales,Clerk,,F,user@domain.com,Invalid
 grace ,thirty, NAN ,Other,IT,Manager,,A,user@domain.com,(098) 765-4321
 frank ,thirty,55000,Male,HR,Analyst,,F,name@company.org,Invalid
 hannah ,40,50000,Male,Finance,Assistant,,D,user@domain.com,(098) 765-4321
 david ,25,70000,Other,Sales,Assistant,,F,name@company.org,Invalid
 frank ,50,50000,Male,HR,Manager,,D,user@domain.com,(098) 765-4321
 frank ,35, NAN ,Male,Finance,Analyst,,C,name@company.org,Invalid
 charlie ,thirty,70000,Other,IT,Manager,,A,user@domain.com,Invalid
 david ,40,SIXTY THOUSAND,Female,HR,Manager,,D,user@domain.com,(123) 456-7890
 jack ,40, NAN ,Male,IT,Director,,A,email@example.com,Invalid
 charlie ,50,50000,Other,HR,Manager,,C,name@company.org,(098) 765-4321
 hannah ,40,55000,Female,HR,Analyst,,C,user@domain.com,Invalid
 alice ,25,70000,Male,Finance,Director,,C,name@company.org,(123) 456-7890
 ivy ,50, NAN ,Other,Marketing,Manager,,F,name@company.org,(555) 555-5555
 ivy ,thirty,65000,Male,Marketing,Director,,C,user@domain.com,(123) 456-7890
 charlie ,thirty,SIXTY THOUSAND,Female,Finance,Director,,B,name@company.org,(555) 555-5555
 charlie ,40,70000,Female,HR,Director,,D,email@example.com,(098) 765-4321
 hannah ,50,55000,Female,Marketing,Clerk,,D,name@company.org,(123) 456-7890
 frank ,thirty,SIXTY THOUSAND,Male,Sales,Director,,B,user@domain.com,(123) 456-7890
 hannah ,50, NAN ,Male,HR,Director,,D,name@company.org,(123) 456-7890
 hannah ,25, NAN ,Female,Marketing,Manager,,C,user@domain.com,(123) 456-7890
 david ,35, NAN ,Male,IT,Assistant,,C,user@domain.com,Invalid
 ivy ,35,55000,Other,HR,Director,,D,name@company.org,(123) 456-7890
 bob ,35, NAN ,Male,IT,Clerk,,D,user@domain.com,(098) 765-4321
 bob ,25, NAN ,Male,Marketing,Director,,C,user@domain.com,(098) 765-4321
 frank ,35,65000,Male,Finance,Assistant,,D,name@company.org,(123) 456-7890
 charlie ,35,55000,Female,Sales,Analyst,,F,email@example.com,(123) 456-7890
 david ,50,70000,Female,HR,Analyst,,A,email@example.com,(555) 555-5555
 alice ,40,50000,Other,Finance,Assistant,,D,name@company.org,(123) 456-7890
 grace ,35,65000,Male,Sales,Manager,,B,name@company.org,(555) 555-5555
 charlie ,35,50000,Male,Finance,Manager,,D,user@domain.com,Invalid
 frank ,50, NAN ,Female,Finance,Director,,B,user@domain.com,(555) 555-5555
 frank ,40,65000,Male,HR,Clerk,,B,name@company.org,(098) 765-4321
 frank ,35,SIXTY THOUSAND,Male,Marketing,Director,,A,user@domain.com,(123) 456-7890
 frank ,thirty,65000,Male,IT,Analyst,,C,user@domain.com,(555) 555-5555
 david ,40, NAN ,Other,IT,Clerk,,B,email@example.com,(123) 456-7890
 alice ,thirty,50000,Other,Marketing,Manager,,B,user@domain.com,(123) 456-7890
 alice ,25,70000,Female,HR,Director,,F,email@example.com,(098) 765-4321
 frank ,35, NAN ,Other,Marketing,Assistant,,C,user@domain.com,(123) 456-7890
 eve ,50,50000,Other,HR,Analyst,,D,user@domain.com,(123) 456-7890
 bob ,35,50000,Other,IT,Manager,,D,user@domain.com,Invalid
 bob ,50,65000,Male,Sales,Manager,,F,user@domain.com,(123) 456-7890
 bob ,25,SIXTY THOUSAND,Male,Sales,Assistant,,C,user@domain.com,(123) 456-7890
 bob ,50,SIXTY THOUSAND,Female,Sales,Clerk,,D,name@company.org,(123) 456-7890
 jack ,50, NAN ,Female,IT,Analyst,,A,user@domain.com,(098) 765-4321
 alice ,25,65000,Female,IT,Assistant,,F,email@example.com,(123) 456-7890
 grace ,40, NAN ,Other,IT,Clerk,,C,name@company.org,(555) 555-5555
 jack ,thirty,55000,Male,IT,Assistant,,A,name@company.org,Invalid
 charlie ,thirty,70000,Male,Sales,Director,,D,user@domain.com,Invalid
 ivy ,thirty, NAN ,Other,HR,Director,,C,name@company.org,(555) 555-5555
 hannah ,40,55000,Other,Sales,Assistant,,A,name@company.org,(555) 555-5555
 ivy ,50, NAN ,Female,Marketing,Assistant,,A,name@company.org,(123) 456-7890
 david ,40,SIXTY THOUSAND,Other,HR,Director,,F,email@example.com,(098) 765-4321
 alice ,35, NAN ,Male,Finance,Assistant,,B,name@company.org,(098) 765-4321
 hannah ,thirty,50000,Female,HR,Director,,D,name@company.org,(098) 765-4321
 ivy ,35, NAN ,Other,IT,Clerk,,D,name@company.org,(555) 555-5555
 jack ,50,55000,Male,IT,Manager,,F,name@company.org,(123) 456-7890
 frank ,35,50000,Female,HR,Director,,F,user@domain.com,(123) 456-7890
 eve ,25, NAN ,Female,Finance,Director,,A,email@example.com,(123) 456-7890
 frank ,25,SIXTY THOUSAND,Other,Finance,Assistant,,F,name@company.org,(098) 765-4321
 jack ,50,55000,Male,Marketing,Director,,B,email@example.com,(123) 456-7890
 charlie ,thirty,70000,Male,Finance,Analyst,,C,user@domain.com,(555) 555-5555
 eve ,35,70000,Male,IT,Assistant,,B,name@company.org,Invalid
 ivy ,50,65000,Other,Finance,Manager,,D,user@domain.com,(098) 765-4321
 jack ,50,65000,Male,Finance,Clerk,,C,name@company.org,Invalid
 alice ,25,SIXTY THOUSAND,Other,Sales,Manager,,F,email@example.com,Invalid
 jack ,25,55000,Other,HR,Clerk,,F,email@example.com,Invalid
 david ,thirty,50000,Female,IT,Assistant,,C,user@domain.com,Invalid
 jack ,thirty,70000,Other,Finance,Assistant,,B,email@example.com,Invalid
 david ,25, NAN ,Other,Finance,Analyst,,D,email@example.com,(098) 765-4321
 eve ,50,65000,Male,HR,Manager,,F,email@example.com,(123) 456-7890
 grace ,25,50000,Female,Marketing,Analyst,,A,email@example.com,(123) 456-7890
 jack ,25,65000,Female,Marketing,Manager,,C,email@example.com,(123) 456-7890
 david ,35,65000,Other,Finance,Analyst,,F,user@domain.com,(098) 765-4321
 bob ,thirty,65000,Other,IT,Analyst,,D,email@example.com,(098) 765-4321
 jack ,40,65000,Other,Marketing,Clerk,,C,email@example.com,(555) 555-5555
 jack ,40,65000,Male,HR,Clerk,,B,email@example.com,(123) 456-7890
 charlie ,35,65000,Male,Finance,Director,,F,name@company.org,Invalid
 hannah ,50,70000,Female,IT,Manager,,B,user@domain.com,Invalid
 eve ,35,65000,Female,IT,Analyst,,F,email@example.com,(098) 765-4321
 hannah ,35, NAN ,Female,HR,Manager,,C,name@company.org,(123) 456-7890
 alice ,40,70000,Male,Finance,Director,,B,name@company.org,(123) 456-7890
 hannah ,thirty, NAN ,Other,Finance,Analyst,,C,name@company.org,(098) 765-4321
 jack ,25, NAN ,Female,IT,Assistant,,A,user@domain.com,(555) 555-5555
 bob ,thirty,70000,Other,IT,Assistant,,B,user@domain.com,(555) 555-5555
 hannah ,40,55000,Female,IT,Clerk,,D,email@example.com,(098) 765-4321
 jack ,25,70000,Male,Finance,Assistant,,B,email@example.com,Invalid
 jack ,25,70000,Female,Finance,Director,,C,user@domain.com,(555) 555-5555
 ivy ,thirty,70000,Female,HR,Director,,C,user@domain.com,Invalid
 jack ,35,50000,Other,HR,Director,,A,name@company.org,(098) 765-4321
 hannah ,thirty,65000,Male,Marketing,Assistant,,C,user@domain.com,(555) 555-5555
 eve ,25,65000,Male,HR,Assistant,,B,email@example.com,(555) 555-5555
 ivy ,35,70000,Other,IT,Director,,D,name@company.org,Invalid
 alice ,35,65000,Female,IT,Clerk,,D,name@company.org,Invalid
 grace ,35,50000,Other,Finance,Director,,F,user@domain.com,Invalid
 alice ,thirty,50000,Other,Marketing,Analyst,,F,email@example.com,(555) 555-5555
 david ,25,55000,Male,Finance,Director,,D,user@domain.com,(123) 456-7890
 frank ,35,70000,Female,Marketing,Director,,F,name@company.org,(123) 456-7890
 ivy ,50,55000,Other,HR,Clerk,,C,email@example.com,(123) 456-7890
 charlie ,35,65000,Other,HR,Director,,D,name@company.org,(098) 765-4321
 grace ,thirty,65000,Other,Sales,Assistant,,C,user@domain.com,Invalid
 jack ,40,SIXTY THOUSAND,Male,IT,Manager,,C,name@company.org,(123) 456-7890
 grace ,50,50000,Female,Marketing,Analyst,,C,email@example.com,(555) 555-5555
 grace ,35,70000,Female,HR,Assistant,,D,user@domain.com,(555) 555-5555
 jack ,35,SIXTY THOUSAND,Male,Marketing,Director,,B,email@example.com,(098) 765-4321
 jack ,thirty,50000,Other,Marketing,Analyst,,A,user@domain.com,(098) 765-4321
 grace ,35,70000,Male,Finance,Assistant,,F,user@domain.com,(123) 456-7890
 eve ,40,SIXTY THOUSAND,Male,HR,Assistant,,B,name@company.org,(123) 456-7890
 grace ,50,70000,Female,Sales,Director,,F,name@company.org,(555) 555-5555
 bob ,35,65000,Other,IT,Analyst,,D,user@domain.com,(555) 555-5555
 jack ,35, NAN ,Male,Sales,Assistant,,F,user@domain.com,(123) 456-7890
 frank ,25,SIXTY THOUSAND,Other,Marketing,Analyst,,F,user@domain.com,(555) 555-5555
 hannah ,35,SIXTY THOUSAND,Male,HR,Manager,,F,name@company.org,Invalid
 jack ,40,SIXTY THOUSAND,Other,IT,Director,,A,user@domain.com,(555) 555-5555
 eve ,35,70000,Other,Sales,Clerk,,F,name@company.org,Invalid
 hannah ,35,55000,Female,Finance,Analyst,,A,user@domain.com,(123) 456-7890
 david ,35,55000,Female,HR,Director,,B,user@domain.com,(123) 456-7890
 jack ,50, NAN ,Male,Sales,Manager,,A,user@domain.com,(098) 765-4321
 jack ,40,50000,Female,HR,Clerk,,A,user@domain.com,(123) 456-7890
 charlie ,40,50000,Other,Sales,Assistant,,F,user@domain.com,(098) 765-4321
 charlie ,thirty,55000,Other,Sales,Assistant,,A,email@example.com,(098) 765-4321
 david ,35,55000,Other,HR,Analyst,,D,name@company.org,(555) 555-5555
 ivy ,25,65000,Male,Finance,Assistant,,F,user@domain.com,(123) 456-7890
 ivy ,40, NAN ,Other,IT,Clerk,,F,email@example.com,(123) 456-7890
 alice ,35,70000,Female,Marketing,Analyst,,B,name@company.org,(555) 555-5555
 hannah ,35,65000,Other,Marketing,Clerk,,B,name@company.org,(555) 555-5555
 frank ,thirty,SIXTY THOUSAND,Other,HR,Clerk,,B,user@domain.com,(555) 555-5555
 eve ,40,SIXTY THOUSAND,Male,Finance,Analyst,,A,email@example.com,(123) 456-7890
 ivy ,thirty, NAN ,Other,Finance,Manager,,F,user@domain.com,(555) 555-5555
 frank ,thirty, NAN ,Female,Finance,Manager,,F,name@company.org,(098) 765-4321
 jack ,thirty,55000,Female,Sales,Manager,,D,name@company.org,(123) 456-7890
 hannah ,40,55000,Other,Sales,Manager,,A,email@example.com,(123) 456-7890
 jack ,35, NAN ,Female,Sales,Manager,,A,user@domain.com,(098) 765-4321
 hannah ,35,70000,Female,Sales,Analyst,,B,email@example.com,Invalid
 alice ,50, NAN ,Female,HR,Manager,,B,user@domain.com,(123) 456-7890
 ivy ,35,SIXTY THOUSAND,Other,HR,Analyst,,C,email@example.com,(123) 456-7890
 david ,thirty,65000,Female,HR,Analyst,,A,user@domain.com,Invalid
 charlie ,thirty,70000,Female,Finance,Manager,,B,name@company.org,(123) 456-7890
 jack ,40,SIXTY THOUSAND,Male,Marketing,Analyst,,A,email@example.com,(123) 456-7890
 eve ,40,65000,Other,HR,Director,,A,user@domain.com,(555) 555-5555
 frank ,50,70000,Male,HR,Director,,F,user@domain.com,(123) 456-7890
 eve ,35, NAN ,Female,HR,Analyst,,A,user@domain.com,Invalid
 jack ,35,SIXTY THOUSAND,Other,Sales,Analyst,,D,email@example.com,(123) 456-7890
 ivy ,40,55000,Female,Finance,Assistant,,C,user@domain.com,(555) 555-5555
 eve ,35,SIXTY THOUSAND,Male,HR,Director,,F,name@company.org,(098) 765-4321
 eve ,50,55000,Other,HR,Director,,D,name@company.org,(098) 765-4321
 eve ,40, NAN ,Female,IT,Assistant,,B,user@domain.com,(123) 456-7890
 jack ,25,SIXTY THOUSAND,Other,Sales,Director,,A,name@company.org,(123) 456-7890
 charlie ,25,55000,Female,Sales,Director,,B,name@company.org,(123) 456-7890
 eve ,thirty,70000,Female,Sales,Manager,,F,name@company.org,Invalid
 alice ,25,55000,Other,Finance,Director,,F,email@example.com,(098) 765-4321
 alice ,25,55000,Other,Finance,Clerk,,A,email@example.com,(555) 555-5555
 jack ,thirty, NAN ,Female,Marketing,Director,,F,email@example.com,(555) 555-5555
 bob ,35,50000,Other,IT,Manager,,D,email@example.com,Invalid
 frank ,35,SIXTY THOUSAND,Other,HR,Clerk,,C,email@example.com,(123) 456-7890
 eve ,50,65000,Male,HR,Analyst,,C,email@example.com,Invalid
 bob ,50,65000,Male,HR,Director,,F,name@company.org,(555) 555-5555
 bob ,25,SIXTY THOUSAND,Male,Sales,Manager,,F,email@example.com,(555) 555-5555
 bob ,50,70000,Male,Finance,Clerk,,A,user@domain.com,(555) 555-5555
 bob ,40,70000,Other,Finance,Analyst,,B,email@example.com,Invalid
 ivy ,thirty, NAN ,Female,Sales,Assistant,,C,email@example.com,(123) 456-7890
 david ,50,70000,Female,Sales,Assistant,,D,email@example.com,(123) 456-7890
 alice ,25,70000,Male,IT,Manager,,A,email@example.com,(555) 555-5555
 frank ,35,55000,Female,Sales,Assistant,,F,name@company.org,Invalid
 eve ,25,SIXTY THOUSAND,Female,Finance,Assistant,,D,email@example.com,(555) 555-5555
 bob ,25,65000,Female,Finance,Director,,B,name@company.org,Invalid
 ivy ,25,SIXTY THOUSAND,Other,Sales,Manager,,A,user@domain.com,(098) 765-4321
 frank ,50,SIXTY THOUSAND,Other,Marketing,Clerk,,C,user@domain.com,(555) 555-5555
 david ,thirty, NAN ,Female,HR,Director,,B,email@example.com,(123) 456-7890
 charlie ,thirty,65000,Female,Marketing,Assistant,,B,name@company.org,(555) 555-5555
 bob ,25,SIXTY THOUSAND,Female,Finance,Assistant,,D,email@example.com,(123) 456-7890
